,name,type,shape_in,shape_out,size_in,size_out,activations,weights
0,conv2d_2,Conv2D,"(60, 31, 1)","(30, 16, 24)",1860,11520,11520,624
3,activation_6,Activation,"(30, 16, 24)","(30, 16, 24)",11520,11520,11520,
4,separable_conv2d_3,SeparableConv2D,"(30, 16, 24)","(15, 8, 48)",11520,5760,2880,624
7,activation_7,Activation,"(15, 8, 48)","(15, 8, 48)",5760,5760,5760,
8,separable_conv2d_4,SeparableConv2D,"(15, 8, 48)","(6, 2, 48)",5760,576,576,1248
12,dense_3,Dense,"(576,)","(64,)",576,64,64,36928
13,activation_9,Activation,"(64,)","(64,)",64,64,64,
15,dense_4,Dense,"(64,)","(10,)",64,10,10,650
17,activation_10,Activation,"(10,)","(10,)",10,10,10,
