experiment,maccs_frame,flash_usage,ram_usage_max,ram_usage_min
0,10185806.0,415100.0,36290.0,36290.0
1,3180954.0,359510.0,56490.0,56490.0
2,530162.0,170410.0,56350.0,56350.0
