experiment,maccs_frame,flash_usage,ram_usage_max,ram_usage_min
0,10185806.0,415100.0,36290.0,36290.0
1,1567280.0,98410.0,56350.0,56350.0
2,2980798.0,381150.0,56720.0,56720.0
3,477236.0,184640.0,56250.0,56250.0
4,468649.0,128750.0,48750.0,48750.0
5,318497.0,97650.0,56250.0,56250.0
6,445688.0,81940.0,48750.0,48750.0
7,380749.0,152810.0,46880.0,46880.0
8,291318.0,121590.0,37500.0,37500.0
9,208943.0,90970.0,28130.0,28130.0
