,name,type,shape_in,shape_out,size_in,size_out,activations,weights
0,conv2d_4,Conv2D,"(60, 31, 1)","(60, 31, 24)",1860,44640,7200,624
3,activation_6,Activation,"(20, 15, 24)","(20, 15, 24)",7200,7200,7200,
4,conv2d_5,Conv2D,"(20, 15, 24)","(20, 15, 48)",7200,14400,2016,28848
7,activation_7,Activation,"(6, 7, 48)","(6, 7, 48)",2016,2016,2016,
8,conv2d_6,Conv2D,"(6, 7, 48)","(2, 3, 48)",2016,288,576,57648
12,dense_3,Dense,"(288,)","(64,)",288,64,64,18496
13,activation_9,Activation,"(64,)","(64,)",64,64,64,
15,dense_4,Dense,"(64,)","(10,)",64,10,10,650
17,activation_10,Activation,"(10,)","(10,)",10,10,10,
